               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088547,            0.047851,            0.033837,           0.0049848,            0.082222,           0.0021494,          0.00039603,             0.09568,            0.033977,            0.031691,               9e-05,               9e-05,             0.09919
                   1,             0.10636,            0.048643,            0.043784,           0.0062767,            0.013333,           0.0016201,          0.00024895,            0.095009,            0.034644,            0.032289,          0.00018582,          0.00018582,            0.098286
                   2,            0.098902,             0.04576,             0.03601,           0.0037461,             0.16444,           0.0017726,          0.00034993,            0.094072,            0.034935,            0.032217,          0.00026508,          0.00026508,            0.097365
                   3,            0.075483,            0.038404,            0.027383,            0.004714,            0.053333,           0.0018485,          0.00030026,            0.092872,            0.035663,            0.032321,          0.00031766,          0.00031766,            0.096418
                   4,            0.086499,            0.043474,            0.032505,           0.0024983,             0.10889,           0.0012208,          0.00024587,            0.092461,            0.035804,            0.032092,          0.00033764,          0.00033764,            0.095438
                   5,            0.088762,            0.054214,            0.031945,           0.0026727,             0.10889,           0.0013531,          0.00025864,            0.092277,             0.03591,            0.032233,           0.0003245,           0.0003245,            0.094425
                   6,            0.074235,            0.037193,            0.027908,           0.0027514,                0.04,           0.0010199,           0.0002975,             0.09151,            0.036256,            0.032361,          0.00028355,          0.00028355,            0.093384
                   7,             0.10024,              0.0512,            0.036572,           0.0047824,            0.095556,           0.0017546,          0.00047661,            0.091671,            0.036085,            0.032407,          0.00022554,          0.00022554,            0.092326
                   8,            0.078968,            0.044635,            0.031685,           0.0027114,                0.04,           0.0012166,          0.00038308,            0.091941,             0.03566,            0.032129,          0.00016549,          0.00016549,            0.091265
                   9,            0.072853,            0.049614,            0.027804,           0.0029274,                0.04,           0.0012744,          0.00021876,            0.091057,            0.035893,            0.031845,           0.0001208,           0.0001208,            0.090221
